DBSN,PID,SSN,AnnotationID,GTA,GTO,Notes,ST,ET,S,G,Len,LTL,Notes
1105,64,3,CjFfCMnBrAkkPv3DOVny4ZQ4ZGd042Eg,on,gas,"find knob, turn on stove",218859,223162,1,1,4.3,,
1106,64,4,cxm4y7KHNAD2JP66QPW9wlTJpEIwfG5X,on,lid,"pick up pot, put lid on pot",233709,237243,1,0,3.5,,
1107,64,5,yrPa3b13TcDxMuKhM3BhXNuLVYA3lNLC,on,lid,turn right,238959,241461,1,1,2.5,,
1108,64,6,dyI5c07Wao4r89vTuO5z5Lt9wOvU4GoI,on,lid,pick up lid,241798,244212,1,1,2.4,,
1109,64,7,33ae33c589d2457e9f7b286207009e60,on,lid,put lid on,246280,248240,1,1,2,,
1110,64,8,PW7Nz39rgrbmMI9tT2ejLp8bQlCPp5cs,fetch,onion,"pick up onion, put onion on board",258041,261184,1,1,3.1,,
1111,64,9,spuhPPWOxyMXpmnUwg1UCafXPxNeP8en,Turn,onion,turn around,261827,264182,1,1,2.4,,
1112,64,10,QjyLme4Lw4U5AMrgNz6s9doNVBW7Fqee,fetch,onion,pick up onion,268449,270305,1,0,1.9,,
1113,64,11,7YDTbzC1pMRarad0bVe9u3XcSgmXdg8l,fetch,carrot,"pick up carrot, put carrot on board",287403,290213,1,0,2.8,,
1114,64,12,x7F0Z0wORxfBy7RG9MC1c7tTaWY1GfIC,fetch,carrot,pick up carrot,293690,295539,1,0,1.8,,
1115,64,13,vWjFXNXuw8hkoA6iM6BvzzbmkkOrd7LU,fetch,carrot,point to carrot,296189,299005,0,1,2.8,,
1116,64,14,r8zipgJiJt6z7IU4odFvBZUMe3qKYfT7,fetch,carrot,pick up carrot,303984,307608,1,1,3.6,,
1117,64,15,5P8PLwpfldvIkrINSPNQ0qL8GOCZZWoc,fetch,carrot,"move arm forward, pick up carrot",313044,316493,1,1,3.4,,
1118,64,16,76t7Km79JEycgIyoQB1SOdvaFFea4COr,cut,onion,"pick up knife, cut onion",322593,326704,1,1,4.1,,
1119,64,17,Lq9pA5GDkCvZjOts1YaP7pAlvOoiblUV,cut,tomato,"pick up tomato, put tomato on board, cut tomato",340865,344590,1,0,3.7,,
1120,64,18,f3kXwLRvKOGdvyqWiY79A2yVVyjULyhM,cut,tomato,pick up tomato,345448,347582,1,0,2.1,,
1121,64,19,XNH26K8OFL7RGkGU7GhgDpzpE4E8UkaN,cut,tomato,pick up tomato,352059,354722,1,0,2.7,,
1122,64,20,2aVbSiyud5etgR1zLPlyVfo4THti2n9I,cut,tomato,pick up tomato,361270,365635,1,1,4.4,,
1123,64,21,3woZodh0V5LCNxo0iuC7Ff4qKYvHETf0,cut,tomato,pick up tomato,367777,371173,1,1,3.4,,
1124,64,22,nSe9PSajvKR6AEWP2LGF37anyUFLH6b4,cut,tomato,put tomato on board,372844,374874,1,1,2,,
1125,64,23,iu7ukhp82enXbW4M4hMtw6KIfEPTJlkW,cut,tomato,"pick up knife, cut tomato",374930,377136,1,1,2.2,,
1126,64,24,HxKRnFYXvCjCHsWHnUcktsEYCX9uJpoT,on,gas,turn on stove,386076,388493,1,0,2.4,,
1127,64,25,VYflE58UpHZDMB1IwCLi5avrov4YiLLE,on,gas,"turn right, turn on stove",391133,393632,1,1,2.5,,
1128,64,26,kMVoIPJJtYLiCIpmhHeSMeUYXWvbCLUN,on,gas,turn on stove,402678,404666,1,0,2,,
1129,64,27,7EBkdm6zEmkUwJOyIwcIAMkMznMwGT2x,on,gas,turn back,416300,418749,1,1,2.4,,
1130,64,28,aU1iudqCJTcTEqv8Oww69NcN0Okbb4hJ,on,gas,turn to me,419263,421703,1,1,2.4,,
1131,64,29,2WxEMvF62QnwBCaQG89dyTdfyz8Iy82D,on,gas,"find dial, turn on stove",425185,428100,1,1,2.9,,
1132,64,30,ERece0dUXSqTwnWmdx0Uh3cVzKhUM7C2,Turn,oil,turn around,439614,442268,1,1,2.7,,
1133,64,31,DLKNPUFUZZrImO5u374rxevRzu1LKaja,add,oil,"move left, pick up oil",444152,447041,1,1,2.9,,
1134,64,32,oC653iNx8WOROmR9YILQ81XeuX7U3HEi,add,oil,"pour oil in pan, turn on stove",449742,453156,1,1,3.4,,
1135,64,33,TaEAzeiCRu7orykSO0Mm37NVSubIvc2u,add,veges,"take onion, put onion in pan",460282,463087,1,1,2.8,,
1136,64,34,ETWvplmvrJ5gHANNkoqhyaE6jsFMhel3,add,veges,pick up onion,464024,466762,1,1,2.7,,
1137,64,35,QdPoje22OkjyiCKsOkMKfGxvBFIoIzUV,add,veges,turn right,474175,476500,1,1,2.3,,
1138,64,36,NkHmJ86ByYK3Mu8OsbcmVjsZUi94WqqT,add,veges,"pick up onion, put onion in pan",478806,481681,1,1,2.9,,
1139,64,37,08nuCNQMItcWVEk4TwhoX6cbbY6ACf6t,add,veges,only the onion,483998,485977,1,1,2,,
1140,64,38,ytgWBFEr4wzS2Q18Vr5fGYc2Ce91Wgby,add,pepper,turn right,496095,498125,1,1,2,,
1141,64,39,c5DcU7ZvxVkT00nx46jhE349SqPnmktk,add,pepper,shift left,498520,500712,1,1,2.2,,
1142,64,40,5CLTOWTtCwMe2gMUSHkdq43pu5nv8VTt,add,pepper,"pick up pepper, put pepper in pan",500787,503160,1,1,2.4,,
1143,64,41,Ic94undelTVHMWSkkl24A3FxDekX14W7,add,pepper,pick up jar,508546,511858,1,1,3.3,,
1144,64,42,xUpdNJKmK1LobtK08FQjIOAjVG63YZFJ,add,pepper,put pepper down,519402,521086,1,1,1.7,,
1145,64,43,43fc033cd47248d2ac4b9ec775c4f407,add,salt,pick up,521680,523360,1,1,1.7,,
1146,64,44,eG42TmoogCwHm033OMY5NL241gUoadRX,add,salt,"turn around, pick up salt, put salt in pan",527920,531734,1,1,3.8,,
1147,64,45,6jur2cpfRy42Avu7Ykw5680CAvu4jWAI,add,salt,"pick up jar, put jar in pan",535417,539272,1,1,3.9,,
1148,64,46,Ok7FFfnlvSmzkjriYFp77nv5wF4vr0uo,mix,veges,turn right,552880,557847,1,1,5,,
1149,64,47,3Kf4q7GnQNwR4IcjjWtQz5kuYbbIGcSP,mix,veges,pick up spoon,561243,563468,1,1,2.2,,
1150,64,48,4TpqidHZmF9ZRrmxA1sSzHDyM7toCXYk,mix,veges,stir onions in pan,565250,567983,1,1,2.7,,
1151,64,49,7VGKq2oPQQxp2v1jIOLbHi72bxJuuwcv,mix,veges,"move left, stir onions",571296,575252,1,0,4,,
1152,64,50,rhg5L2PeO5ZWzVrET6FYpiPUM1IDUage,cut,potato,"pick up potato, cut potato",585863,588256,1,1,2.4,,
1153,64,51,Xq3UFZBTHA4m2ENENegGhk2euRsfOS7q,cut,potato,pick up potato,588403,590420,0,1,2,,
1154,64,52,fwy4HjrnLBwXa8IiIuKOAARTLzWXHj5P,cut,carrot,"pick up carrot, cut carrot",608202,611891,1,1,3.7,,
1155,64,53,VVBfMzUXNx1hQQBSzD3CnqL60aDX8liX,cut,celery,"pick up celery, cut celery",625442,628419,1,1,3,,
1156,64,54,RZKrkg5n773Oe3Lff0gKmNMVkaIj5Osq,off,lid,"turn around, pick up pot lid",647611,650867,1,1,3.3,,
1157,64,55,vCtKtk3OiyCerqKIfssSyN5spgCFyhNI,off,lid,pick up pot lid,655274,658292,1,1,3,,
1158,64,56,MJtecQILCI8VllsrK2sNbkhYU4oqCilH,add,veges,"pick up celery, put celery in pot",671565,674994,1,1,3.4,,
1159,64,57,Q25sjEvTJ6fIH61iaxbfGHteuoI9icUu,add,veges,pick up tray,679171,681939,1,1,2.8,,
1160,64,58,2Pa4nwjUFMggcVjl1Os3Lk6W7X5OjkzX,add,veges,turn right,684642,686860,1,1,2.2,,
1161,64,59,sgMcDtCfjaDCkAIxiTr2hyuQQ2xyxpAe,add,veges,put celery in pot,687196,690022,1,1,2.8,,
1162,64,60,4W2mbL0vAI9abArmjMRTgyKRGUh4kjsU,add,veges,put celery in pot,695948,699393,1,1,3.4,,
1163,64,61,pT7VlokENcQgr8J5lqEgGiOnWlD8aY3l,off,gas,"turn around, turn off stove",712125,714867,1,1,2.7,,
1164,64,62,nOiIldAM9GtTOtouzvFPFdTByaIxlFJj,off,gas,"reach for knob, turn off stove",718606,721401,1,1,2.8,,
1165,64,63,Kd6hgP8G5urxhfLae9QxtX9XQndEFLU8,off,gas,turning off stove,721423,723594,0,1,2.2,,
1166,64,64,1QNcJ9Mwm0ugvUpEd6ouHKZA7vRZ47VE,add,veges,"turn around, pick up pan, put pan in pot",733266,737501,1,1,4.2,,
1167,64,65,kDvIFPsZ0LEvhdDMp67vOi3frxGbePL8,add,veges,pick up pan,739789,743881,1,1,4.1,,
1168,64,66,iNHgs7loSSRBD8vYudqpp3qSZ3MVJ2rb,add,veges,pour pan into pot,744050,746970,1,1,2.9,,
1169,64,67,2VWVlLL8mUXuFZ5cuWNFyFDzoxTAB33J,Turn,spice,turn around,757399,759843,1,1,2.4,,
1170,64,68,MQ9WVg1pLF26qjVX9rFkpueLE0nHMCfr,add,spice,put spices in pot,760172,762803,1,1,2.6,,
1171,64,69,GF6mIiYqNXs0jQdmiRGDnDuOKkikP8MI,mix,veges,"turn around, stir pot",785277,788135,1,1,2.9,,
1172,64,70,GOZ8WIos3NUYXYygXkD4tvPG6Vjpo3MZ,Turn,veges,turn around,789845,792213,1,1,2.4,,
1173,64,71,Cp9nua3IoT4iA3NGIFxo8ccWBYtSduqI,on,lid,turn right,792553,795018,1,1,2.5,,
1174,64,72,fQQ4vVqGM8htt1Evmd0bwoNRJivT75gq,on,lid,"turn around, put lid on pot",815766,819370,1,1,3.6,,
1175,64,73,XmishH8SGa93QMsfbYnuNbnfm8dHWCT1,on,gas,"turn around, turn on heat",837731,841117,1,1,3.4,,
1176,64,74,nWO6VG2L1PTfj3ORgVH9Rdm5lklRk2eZ,on,gas,turn heat up,842783,845303,1,0,2.5,,
1177,64,75,ytC921CgTWJoaRJz8dNnGmkkOiirTpyI,off,lid,"turn around, take lid off pot",854381,858119,1,1,3.7,,
1178,64,76,wceAzYOn2k1MFo5NGHxhvSjMZW9ln8CM,fetch,soup,"find bowl, put soup in bowl",874582,878921,1,1,4.3,,
1179,64,77,ToFWjMyA51HyDDEdmUgqnftjvvmWElLX,fetch,soup,pick up spoon,889832,893335,1,1,3.5,,
1180,64,78,XmbAW0M6D092EoGvOnHKvMtAT632PB05,fetch,soup,"pick up pot, put pot in sink",917503,922044,1,1,4.5,,
1181,64,79,dDSKQa0MqEYBabLxXrurcX7fOzApygZd,clean up,,put pan on stove,938471,941480,1,1,3,,
1182,64,80,niod8dPh9XFwmX8y4qO1V8otn9U9NImL,clean up,,pan is to right,942131,946625,1,1,4.5,,
1183,64,81,pmBA3L4WNm0itlK8ZFw3uVZqCBW006ed,clean up,,pick up pan,947678,950055,1,1,2.4,,
1184,64,82,TKKdDgeXfWDR5nKYiX6n25xrGkjSsw1Z,clean up,,move right,951560,954377,1,1,2.8,,
1185,64,83,anuqd65ukRbGynmCaygEtWhMfNQLf0Xp,clean up,,move to right,960523,963326,1,1,2.8,,
1186,64,84,d2AOEoBljzTSFRyO3sOa1yE20QLSJEEI,clean up,,pick up pan,963867,968588,1,1,4.7,,
1187,64,85,TGpK0jqkXQWaUNapjbY3JZn9m5I2HHan,Turn,,turn around,973098,975655,1,1,2.6,,
97,70,0,4e7317d49ff04753b356915d3870eb85,on,gas,turn on stove,280140,283040,1,0,2.9,,
98,70,1,47571d97fffc424a80c05d3ca4c521f0,on,lid,"take lid, put lid on pot",313540,317120,1,0,3.6,,
99,70,2,1717098e23cb410fa31481daaa27d3a1,fetch,onion,take onion,344940,347920,1,0,3,,
100,70,3,be686ded78bf4444bdf0f58d079e4141,fetch,onion,put onion on board,378140,381080,1,0,2.9,,
101,70,4,111fb9fabedf432ea7959a608b0fb0a3,cut,onion,cut onion,454380,456560,1,0,2.2,,
102,70,5,1cef68c93c82405599ee17f6d7a30951,cut,tomato,pick up tomato,463300,465640,1,0,2.3,,
103,70,6,c0a093ad5f9d4cd9942e805a49a6fc28,cut,tomato,pick up tomato,470380,472760,1,0,2.4,,
104,70,7,5fabd19167904c16879bf13ce1d6967c,cut,tomato,pick up tomato,472800,475640,1,1,2.8,,
105,70,8,c74b8b09906c41d9b5dc9a6bd4a40da2,cut,tomato,reference to tomato,479340,482360,1,1,3,,
106,70,9,655797ccd756439c8c02e49f8d899037,on,gas,turn on stove,502700,505040,1,0,2.3,,
107,70,10,8b843feecf00477393f9327d7cc4d8cb,add,oil,pour oil in pot,534340,537520,1,0,3.2,,
108,70,11,e2e3422059fc40c5a33b736e833856fd,add,onion,put onions tomatoes in pot,544180,549800,1,0,5.6,,
109,70,12,58f03d0ac38749a0b845aa7d18e0ff16,add,spice,"take seasoning, put seasoning in pot",584860,588920,1,0,4.1,,
110,70,13,c26daa5e6f6543189e8af2f4989105c7,add,pepper,put pepper in pot,609020,613080,1,0,4.1,,
111,70,14,65b9ecd23c9843218d86721e3eb3a51c,mix,veges,"take spoon, stir pot",633180,639000,1,0,5.8,,
112,70,15,d94b71adb2ff4012b6653a3ef56f30a8,cut,potato,take potato,657740,660720,1,0,3,,
113,70,16,19c41d243b224cbea2f6a47a3da2fae7,cut,potato,knife cut potato,664100,667200,1,0,3.1,,
114,70,17,bda7246d7b54495aa435cbb406b09e7b,cut,carrot,cut carrot,696540,699280,1,0,2.7,,
115,70,18,ee726dd44a74445ea680b42972b53a65,cut,celery,cut celery,717620,720000,1,0,2.4,,
116,70,19,fc146374d01f45f094d6ef08f7ccc6b3,off,lid,take lid off pot,738180,740800,1,0,2.6,,
117,70,20,d7291f9f9f304b8bb6bf0bc6e1a0d094,add,veges,"take board, dump board in pot",755540,760680,1,0,5.1,,
118,70,21,71d09c27a929480c8646b2968c8b2fe4,off,gas,turn off fire,790120,793720,1,0,3.6,,
119,70,22,93728acd691d424880df3e3c4d1b0b2b,add,veges,"take first pot, dump into second pot",803500,808680,1,0,5.2,,
120,70,23,b82c76d096de4591ba3a0f912b706d43,add,spice,"take seasoning, pour seasoning in pot",831180,838400,1,0,7.2,,
121,70,24,0ccfc04d39d445d998f88483ecec5d1a,mix,veges,stir pot,866580,869480,1,0,2.9,,
122,70,25,c44f3ada00294124805bf307273f5565,Turn,veges,Go to stove,870640,872760,1,0,2.1,,
123,70,26,c65e39f96478419f8d7dedef966193a8,Turn,veges,Go to stove,876520,880320,1,0,3.8,,
124,70,27,fd8c4a127705430ab2e468da5d90ed70,mix,veges,"take spoon, stir pot",882940,886920,1,0,4,,
125,70,28,4dbcd702915a44a0898978f799b73a26,Turn,lid,Turn around,892200,894960,1,0,2.8,,
126,70,29,b4d77f9e1a5445e8b03cc9896f602e31,on,lid,Turn to pot,901160,903840,1,1,2.7,,
127,70,30,09291ce290c74511bc797e6f7a4845a9,on,lid,put lid on pot,925300,928640,1,1,3.3,,
128,70,31,567e9d567b40489bb440dcfc1279bd3c,off,gas,turn off stove,942700,946280,1,0,3.6,,
129,70,32,ae68d11e3f3c4056a0f172e2b35c60db,off,lid,take lid off pot,957820,960480,1,0,2.7,,
130,70,33,355e482b3686449ead0c073be301b44c,fetch,soup,"take bowl, put soup in bowl",979780,984520,1,0,4.7,,
